"label","shape","n","engine","threads","secs","bytes","mb_s","note"
"baseline","num_random",200000,"fastgeojson",1,0.124351650003518,8010989,61.437660522372,""
"baseline","num_random",200000,"fastgeojson",32,0.0157623692312672,8010989,484.690743264539,""
"baseline","num_random",200000,"jsonlite",NA,0.187107600000066,8010989,40.8314491678066,""
"baseline","num_random",200000,"yyjsonr",NA,0.0476624222226544,14212624,284.379472243788,""
"baseline","num_random",200000,"jsonify",NA,0.288949199995841,14212892,46.909526181249,""
"baseline","num_whole",200000,"fastgeojson",1,0.0535060375004832,4755707,84.7641842700921,""
"baseline","num_whole",200000,"fastgeojson",32,0.00864418695614997,4755707,524.675790246146,""
"baseline","num_whole",200000,"jsonlite",NA,0.130384550007875,4755707,34.7847626270098,""
"baseline","num_whole",200000,"yyjsonr",NA,0.0222901842100423,5555707,237.698128712251,""
"baseline","num_whole",200000,"jsonify",NA,0.160283633333165,5555707,33.0559955823145,""
"baseline","int_only",200000,"fastgeojson",1,0.00918241333306974,4666841,484.692448380973,""
"baseline","int_only",200000,"fastgeojson",32,0.00586808285692574,4666841,758.449822363847,""
"baseline","int_only",200000,"jsonlite",NA,0.108648324996466,4666841,40.9637829262111,""
"baseline","int_only",200000,"yyjsonr",NA,0.0197752999998296,4666841,225.060879000066,""
"baseline","int_only",200000,"jsonify",NA,0.147500500005359,4666841,30.1737716162992,""
"baseline","logical_only",200000,"fastgeojson",1,0.0083332255314243,4200026,480.661048874057,""
"baseline","logical_only",200000,"fastgeojson",32,0.00533172133339879,4200026,751.250238707643,""
"baseline","logical_only",200000,"jsonlite",NA,0.100031324996962,4200026,40.0420260809313,""
"baseline","logical_only",200000,"yyjsonr",NA,0.0178940608697619,4200026,223.842813187645,""
"baseline","logical_only",200000,"jsonify",NA,0.0859391600009985,4200026,46.6080530039151,""
"baseline","chr_short",200000,"fastgeojson",1,0.0142208357148255,4350011,291.719407352395,""
"baseline","chr_short",200000,"fastgeojson",32,0.0137985896555996,4350011,300.646216050143,""
"baseline","chr_short",200000,"jsonlite",NA,0.0631066428572272,4350011,65.7378301072082,""
"baseline","chr_short",200000,"yyjsonr",NA,0.0220894157904886,4350011,187.804594115655,""
"baseline","chr_short",200000,"jsonify",NA,0.0879724600003101,4350011,47.1567325361829,""
"baseline","chr_long",10000,"fastgeojson",1,0.0036713477064441,2090001,542.90152672406,""
"baseline","chr_long",10000,"fastgeojson",32,0.00402936213581995,2090001,494.663971064934,""
"baseline","chr_long",10000,"jsonlite",NA,0.0112636314289245,2090001,176.957164085197,""
"baseline","chr_long",10000,"yyjsonr",NA,0.00320215079386438,2090001,622.450472595638,""
"baseline","chr_long",10000,"jsonify",NA,0.006155411764613,2090001,323.809413762053,""
"baseline","chr_escaped",200000,"fastgeojson",1,0.0116762742857515,3758843,307.008206622708,""
"baseline","chr_escaped",200000,"fastgeojson",32,0.0109978763158372,3758843,325.945839501882,""
