"label","shape","n","engine","threads","secs","bytes","mb_s","note"
"fix1","num_random",200000,"fastgeojson",1,0.0279093666661841,8010989,273.738725413992,""
"fix1","num_random",200000,"fastgeojson",32,0.00974335641083785,8010989,784.111155968277,""
"fix1","num_whole",200000,"fastgeojson",1,0.0178784863634395,4755707,253.678948544998,""
"fix1","num_whole",200000,"fastgeojson",32,0.00616905671620825,4755707,735.18462074394,""
"fix1","int_only",200000,"fastgeojson",1,0.0090642295452364,4666841,491.012101827303,""
"fix1","int_only",200000,"fastgeojson",32,0.00572811095889224,4666841,776.983272913479,""
"fix1","logical_only",200000,"fastgeojson",1,0.00822550816311767,4200026,486.955558855139,""
"fix1","logical_only",200000,"fastgeojson",32,0.00510378375001892,4200026,784.801457237217,""
"fix1","chr_short",200000,"fastgeojson",1,0.0151334615388455,4350011,274.127221728885,""
"fix1","chr_short",200000,"fastgeojson",32,0.0136892133334186,4350011,303.048368503194,""
"fix1","chr_long",10000,"fastgeojson",1,0.00365646203701747,2090001,545.111710386905,""
"fix1","chr_long",10000,"fastgeojson",32,0.00405940306147237,2090001,491.003294026299,""
"fix1","chr_escaped",200000,"fastgeojson",1,0.0118941742851998,3758843,301.383849147391,""
"fix1","chr_escaped",200000,"fastgeojson",32,0.010617417949013,3758843,337.625592749379,""
"fix1","chr_unicode",200000,"fastgeojson",1,0.014044900000264,2919897,198.266329799381,""
"fix1","chr_unicode",200000,"fastgeojson",32,0.0132313875001273,2919897,210.456444981667,""
"fix1","factor_only",200000,"fastgeojson",1,0.00933428333346022,4632815,473.330037274945,""
"fix1","factor_only",200000,"fastgeojson",32,0.005613184000055,4632815,787.110609258192,""
"fix1","wide",2000,"fastgeojson",1,0.0228105782602063,5343567,223.406112189016,""
"fix1","wide",2000,"fastgeojson",32,0.0228917666665641,5343567,222.613775516911,""
"fix1","narrow_tall",200000,"fastgeojson",1,0.0086743787229507,2577630,283.388540748662,""
"fix1","narrow_tall",200000,"fastgeojson",32,0.00352639568957564,2577630,697.091235525545,""
"fix1","mixed",200000,"fastgeojson",1,0.0276158785709413,10154975,350.68733433084,""
"fix1","mixed",200000,"fastgeojson",32,0.0170907291673454,10154975,566.654514644785,""
"fix1","na_dense",200000,"fastgeojson",1,0.0111801527778476,2388627,203.751439415756,""
"fix1","na_dense",200000,"fastgeojson",32,0.00611719420260709,2388627,372.388409771862,""
"fix1","list_column",20000,"fastgeojson",1,0.0269314999999811,842317,29.8273801746255,""
"fix1","list_column",20000,"fastgeojson",32,0.0271129937500518,842317,29.6277163849096,""
"fix1","nested_list",20000,"fastgeojson",1,0.129088500000459,848895,6.27142897177368,""
"fix1","nested_list",20000,"fastgeojson",32,0.130308349995175,848895,6.21272051143045,""
"fix1","vec_double",200000,"fastgeojson",1,0.00588217971001185,1377430,223.321910993572,""
"fix1","vec_double",200000,"fastgeojson",32,0.00589782794122584,1377430,222.729388978145,""
"fix1","vec_chr",200000,"fastgeojson",1,0.00339353119248499,1000001,281.027406552941,""
"fix1","vec_chr",200000,"fastgeojson",32,0.00338207685950497,1000001,281.979183116541,""
"fix1","sf_point",50000,"fastgeojson",1,0.0151264148147742,5829328,367.521350140284,""
"fix1","sf_point",50000,"fastgeojson",32,0.0106223675672506,5829328,523.356056012165,""
"fix1","sf_linestring",2000,"fastgeojson",1,0.00355222631575695,952940,255.837979422917,""
"fix1","sf_linestring",2000,"fastgeojson",32,0.00361404017868543,952940,251.462174780452,""
"fix1","sf_polygon",1000,"fastgeojson",1,0.0153158629621396,3940528,245.365237072786,""
"fix1","sf_polygon",1000,"fastgeojson",32,0.0153159153840254,3940528,245.364397259552,""
"fix1","sf_point_xyz",50000,"fastgeojson",1,0.0170219625009243,5472370,306.595594872723,""
"fix1","sf_point_xyz",50000,"fastgeojson",32,0.0116304705888444,5472370,448.722919593456,""
