"label","shape","n","engine","threads","secs","bytes","mb_s","note"
"smoke","num_random",20000,"fastgeojson",1,0.005,801081,152.794075012207,""
"smoke","num_random",20000,"fastgeojson",32,0,801081,NA,""
"smoke","num_random",20000,"jsonlite",NA,0.01,801081,76.3970375061034,""
"smoke","num_random",20000,"yyjsonr",NA,0,1421210,NA,""
"smoke","num_random",20000,"jsonify",NA,0.0299999999999999,1421232,45.1797485351564,""
"smoke","num_whole",20000,"fastgeojson",1,0,475579,NA,""
"smoke","num_whole",20000,"fastgeojson",32,0,475579,NA,""
"smoke","num_whole",20000,"jsonlite",NA,0.0099999999999999,475579,45.3547477722173,""
"smoke","num_whole",20000,"yyjsonr",NA,0,555579,NA,""
"smoke","num_whole",20000,"jsonify",NA,0.015,555579,35.3227615356445,""
"smoke","int_only",20000,"fastgeojson",1,0,446663,NA,""
"smoke","int_only",20000,"fastgeojson",32,0,446663,NA,""
"smoke","int_only",20000,"jsonlite",NA,0.015,446663,28.398068745931,""
"smoke","int_only",20000,"yyjsonr",NA,0,446663,NA,""
"smoke","int_only",20000,"jsonify",NA,0.01,446663,42.5971031188964,""
"smoke","logical_only",20000,"fastgeojson",1,0,419928,NA,""
"smoke","logical_only",20000,"fastgeojson",32,0,419928,NA,""
"smoke","logical_only",20000,"jsonlite",NA,0.0150000000000001,419928,26.698303222656,""
"smoke","logical_only",20000,"yyjsonr",NA,0.01,419928,40.0474548339843,""
"smoke","logical_only",20000,"jsonify",NA,0,419928,NA,""
"smoke","chr_short",20000,"fastgeojson",1,0,435094,NA,""
"smoke","chr_short",20000,"fastgeojson",32,0,435094,NA,""
"smoke","chr_short",20000,"jsonlite",NA,0.01,435094,41.4937973022461,""
"smoke","chr_short",20000,"yyjsonr",NA,0.00499999999999989,435094,82.9875946044939,""
"smoke","chr_short",20000,"jsonify",NA,0.00499999999999989,435094,82.9875946044939,""
"smoke","chr_long",20000,"fastgeojson",1,0.0149999999999999,4180001,265.757306416831,""
"smoke","chr_long",20000,"fastgeojson",32,0.00500000000000012,4180001,797.27191925047,""
"smoke","chr_long",20000,"jsonlite",NA,0.02,4180001,199.317979812622,""
"smoke","chr_long",20000,"yyjsonr",NA,0,4180001,NA,""
"smoke","chr_long",20000,"jsonify",NA,0.02,4180001,199.317979812622,""
"smoke","chr_escaped",20000,"fastgeojson",1,0,375841,NA,""
"smoke","chr_escaped",20000,"fastgeojson",32,0.00499999999999989,375841,71.6859817504898,""
"smoke","chr_escaped",20000,"jsonlite",NA,0,375841,NA,""
"smoke","chr_escaped",20000,"yyjsonr",NA,0.00999999999999979,375841,35.8429908752449,""
"smoke","chr_escaped",20000,"jsonify",NA,0.00499999999999989,375841,71.6859817504898,""
"smoke","chr_unicode",20000,"fastgeojson",1,0,292094,NA,""
"smoke","chr_unicode",20000,"fastgeojson",32,0,292094,NA,""
"smoke","chr_unicode",20000,"jsonlite",NA,0,292094,NA,""
"smoke","chr_unicode",20000,"yyjsonr",NA,0,292094,NA,""
